Line    | Lexeme         | Token Type
--------------------------------------------------
1       | /^             | SINGLE_LINE_COMMENT_START
1       |  Utility functions| SINGLE_LINE_COMMENT_CONTENT
3       | /^             | SINGLE_LINE_COMMENT_START
3       |  Calculate maximum of two values| SINGLE_LINE_COMMENT_CONTENT
4       | Imw            | INTEGER
4       | max            | IDENTIFIER
4       | (              | BRACE
4       | Imw            | INTEGER
4       | a              | IDENTIFIER
4       | ,              | COMMA
4       | Imw            | INTEGER
4       | b              | IDENTIFIER
4       | )              | BRACE
4       | {              | BRACE
5       | IfTrue         | CONDITION
5       | (              | BRACE
5       | a              | IDENTIFIER
5       | >              | RELATIONAL_OP
5       | b              | IDENTIFIER
5       | )              | BRACE
5       | {              | BRACE
6       | Turnback       | RETURN
6       | a              | IDENTIFIER
6       | ;              | SEMICOLON
7       | }              | BRACE
7       | Otherwise      | CONDITION
7       | {              | BRACE
8       | Turnback       | RETURN
8       | b              | IDENTIFIER
8       | ;              | SEMICOLON
9       | }              | BRACE
10      | }              | BRACE
12      | /^             | SINGLE_LINE_COMMENT_START
12      |  Calculate minimum of two values| SINGLE_LINE_COMMENT_CONTENT
13      | Imw            | INTEGER
13      | min            | IDENTIFIER
13      | (              | BRACE
13      | Imw            | INTEGER
13      | a              | IDENTIFIER
13      | ,              | COMMA
13      | Imw            | INTEGER
13      | b              | IDENTIFIER
13      | )              | BRACE
13      | {              | BRACE
14      | IfTrue         | CONDITION
14      | (              | BRACE
14      | a              | IDENTIFIER
14      | <              | RELATIONAL_OP
14      | b              | IDENTIFIER
14      | )              | BRACE
14      | {              | BRACE
15      | Turnback       | RETURN
15      | a              | IDENTIFIER
15      | ;              | SEMICOLON
16      | }              | BRACE
16      | Otherwise      | CONDITION
16      | {              | BRACE
17      | Turnback       | RETURN
17      | b              | IDENTIFIER
17      | ;              | SEMICOLON
18      | }              | BRACE
19      | }              | BRACE
21      | /^             | SINGLE_LINE_COMMENT_START
21      |  Check if number is even| SINGLE_LINE_COMMENT_CONTENT
22      | Imw            | INTEGER
22      | isEven         | IDENTIFIER
22      | (              | BRACE
22      | Imw            | INTEGER
22      | num            | IDENTIFIER
22      | )              | BRACE
22      | {              | BRACE
23      | IfTrue         | CONDITION
23      | (              | BRACE
23      | num            | IDENTIFIER
23      | +              | ADDOP
23      | 2              | CONSTANT
23      | ==             | RELATIONAL_OP
23      | 0              | CONSTANT
23      | )              | BRACE
23      | {              | BRACE
24      | Turnback       | RETURN
24      | 1              | CONSTANT
24      | ;              | SEMICOLON
25      | }              | BRACE
25      | Otherwise      | CONDITION
25      | {              | BRACE
26      | Turnback       | RETURN
26      | 0              | CONSTANT
26      | ;              | SEMICOLON
27      | }              | BRACE
28      | }              | BRACE
30      | /^             | SINGLE_LINE_COMMENT_START
30      |  Calculate factorial of a number| SINGLE_LINE_COMMENT_CONTENT
31      | Imw            | INTEGER
31      | factorial      | IDENTIFIER
31      | (              | BRACE
31      | Imw            | INTEGER
31      | n              | IDENTIFIER
31      | )              | BRACE
31      | {              | BRACE
32      | IfTrue         | CONDITION
32      | (              | BRACE
32      | n              | IDENTIFIER
32      | <=             | RELATIONAL_OP
32      | 1              | CONSTANT
32      | )              | BRACE
32      | {              | BRACE
33      | Turnback       | RETURN
33      | 1              | CONSTANT
33      | ;              | SEMICOLON
34      | }              | BRACE
34      | Otherwise      | CONDITION
34      | {              | BRACE
35      | Turnback       | RETURN
35      | n              | IDENTIFIER
35      | *              | MULOP
35      | factorial      | IDENTIFIER
35      | (              | BRACE
35      | n              | IDENTIFIER
35      | -              | ADDOP
35      | 1              | CONSTANT
35      | )              | BRACE
35      | ;              | SEMICOLON
36      | }              | BRACE
37      | }              | BRACE
39      | /^             | SINGLE_LINE_COMMENT_START
39      |  String copy function| SINGLE_LINE_COMMENT_CONTENT
40      | NOReturn       | VOID
40      | stringCopy     | IDENTIFIER
40      | (              | BRACE
40      | Series         | STRING
40      | dest           | IDENTIFIER
40      | ,              | COMMA
40      | Series         | STRING
40      | src            | IDENTIFIER
40      | )              | BRACE
40      | {              | BRACE
41      | /@             | COMMENT_START
41      |  This would need builtin string handling
    Implementation would depend on the runtime | COMMENT_CONTENT
42      | @/             | COMMENT_END
43      | }              | BRACE
45      | /^             | SINGLE_LINE_COMMENT_START
45      |  Utility structure for mathematical operations| SINGLE_LINE_COMMENT_CONTENT
46      | Loli           | STRUCT
46      | MathUtils      | IDENTIFIER
46      | {              | BRACE
47      | IMwf           | FLOAT
47      | pi             | IDENTIFIER
47      | ;              | SEMICOLON
48      | IMwf           | FLOAT
48      | e              | IDENTIFIER
48      | ;              | SEMICOLON
49      | }              | BRACE
49      | ;              | SEMICOLON
51      | /^             | SINGLE_LINE_COMMENT_START
51      |  Initialize math constants| SINGLE_LINE_COMMENT_CONTENT
52      | NOReturn       | VOID
52      | initMathUtils  | IDENTIFIER
52      | (              | BRACE
52      | Loli           | STRUCT
52      | utils          | IDENTIFIER
52      | )              | BRACE
52      | {              | BRACE
53      | utils          | IDENTIFIER
53      | ->             | ACCESS_OP
53      | pi             | IDENTIFIER
53      | =              | ASSIGNMENT_OP
53      | 3.14159        | CONSTANT
53      | ;              | SEMICOLON
54      | utils          | IDENTIFIER
54      | ->             | ACCESS_OP
54      | e              | IDENTIFIER
54      | =              | ASSIGNMENT_OP
54      | 2.71828        | CONSTANT
54      | ;              | SEMICOLON
55      | }              | BRACE
1       | /@             | COMMENT_START
1       |  
   Test file for Project#3 compiler
   This file demonstrates basic language features 
| COMMENT_CONTENT
4       | @/             | COMMENT_END
6       | /^             | SINGLE_LINE_COMMENT_START
6       |  Include helper functions | SINGLE_LINE_COMMENT_CONTENT
7       | include        | INCLUSION
7       | ".\tests\toinclude.txt"| STRING_LITERAL
7       | ;              | SEMICOLON
9       | /^             | SINGLE_LINE_COMMENT_START
9       |  Type declarations and variable declarations| SINGLE_LINE_COMMENT_CONTENT
10      | Imw            | INTEGER
10      | globalVar      | IDENTIFIER
10      | ;              | SEMICOLON
11      | SIMw           | SINTEGER
11      | negativeNum    | IDENTIFIER
11      | ;              | SEMICOLON
12      | Chj            | CHARACTER
12      | letter         | IDENTIFIER
12      | ;              | SEMICOLON
13      | Series         | STRING
13      | message        | IDENTIFIER
13      | ;              | SEMICOLON
14      | IMwf           | FLOAT
14      | pi             | IDENTIFIER
14      | ;              | SEMICOLON
15      | SIMwf          | SFLOAT
15      | negativeFloat  | IDENTIFIER
15      | ;              | SEMICOLON
17      | /^             | SINGLE_LINE_COMMENT_START
17      |  Structure definition| SINGLE_LINE_COMMENT_CONTENT
18      | Loli           | STRUCT
18      | Person         | IDENTIFIER
18      | {              | BRACE
19      | Imw            | INTEGER
19      | age            | IDENTIFIER
19      | ;              | SEMICOLON
20      | Series         | STRING
20      | name           | IDENTIFIER
20      | ;              | SEMICOLON
21      | IMwf           | FLOAT
21      | height         | IDENTIFIER
21      | ;              | SEMICOLON
22      | }              | BRACE
22      | ;              | SEMICOLON
24      | /^             | SINGLE_LINE_COMMENT_START
24      |  Function declaration with parameters| SINGLE_LINE_COMMENT_CONTENT
25      | Imw            | INTEGER
25      | add            | IDENTIFIER
25      | (              | BRACE
25      | Imw            | INTEGER
25      | a              | IDENTIFIER
25      | ,              | COMMA
25      | Imw            | INTEGER
25      | b              | IDENTIFIER
25      | )              | BRACE
25      | {              | BRACE
26      | Turnback       | RETURN
26      | a              | IDENTIFIER
26      | +              | ADDOP
26      | b              | IDENTIFIER
26      | ;              | SEMICOLON
27      | }              | BRACE
28      | /^             | SINGLE_LINE_COMMENT_START
28      |  Main function with various statements| SINGLE_LINE_COMMENT_CONTENT
29      | Imw            | INTEGER
29      | main           | IDENTIFIER
29      | (              | BRACE
29      | )              | BRACE
29      | {              | BRACE
30      | /^             | SINGLE_LINE_COMMENT_START
30      |  Variable declarations| SINGLE_LINE_COMMENT_CONTENT
31      | Imw            | INTEGER
31      | x              | IDENTIFIER
31      | ;              | SEMICOLON
32      | IMwf           | FLOAT
32      | result         | IDENTIFIER
32      | ;              | SEMICOLON
33      | Series         | STRING
33      | greeting       | IDENTIFIER
33      | ;              | SEMICOLON
34      | Loli           | STRUCT
34      | Person         | IDENTIFIER
34      | person1        | IDENTIFIER
34      | ;              | SEMICOLON
35      | Imw            | INTEGER
35      | y              | IDENTIFIER
35      | =              | ASSIGNMENT_OP
35      | 20             | CONSTANT
35      | ;              | SEMICOLON
36      | Imw            | INTEGER
36      | z              | IDENTIFIER
36      | =              | ASSIGNMENT_OP
36      | add            | IDENTIFIER
36      | (              | BRACE
36      | x              | IDENTIFIER
36      | ,              | COMMA
36      | y              | IDENTIFIER
36      | )              | BRACE
36      | ;              | SEMICOLON
37      | Imw            | INTEGER
37      | counter        | IDENTIFIER
37      | ;              | SEMICOLON
38      | Imw            | INTEGER
38      | I              | IDENTIFIER
38      | ;              | SEMICOLON
40      | x              | IDENTIFIER
40      | =              | ASSIGNMENT_OP
40      | 10             | CONSTANT
40      | ;              | SEMICOLON
41      | IfTrue         | CONDITION
41      | (              | BRACE
41      | z              | IDENTIFIER
41      | >              | RELATIONAL_OP
41      | 25             | CONSTANT
